broadcast_abstract,hard_news_gold,geography_gold,sample_id,length,n,time,year
"(Studio: Garrick Utley) Problems facing Soviet President Mikhail Gorbachev reviewed.(Moscow: Bob Abernethy) Rampage by Azerbaijanis in Armenian section of capital city of Baku, Azerbaijan, USSR , featured; details given of ethnic feud rooted in dispute over Nagorno-Karabakh, Azerbaijan, USSR ; scenes shown from enclave. Secession movement in Lithuania, USSR , republic which was just visited by Gorbachev, reviewed; scenes shown from political meeting. [Soviet Politburo member Vadim MEDVEDEV - (thru translator) talks about threatened party split.] Concern that unrest in the republics, coupled with Soviet economic problems, could overturn Gorbachev expressed.(Studio: Garrick Utley; Moscow: Bob Abernethy) Analysis given of Gorbachev's statements about possibility of multiparty system and his defense of necessity for one-party system to hold USSR together.",hard_news,international,418367,863,10970,160,1990
(Studio: Jane Pauley) .(New York: Bob Herbert) Scandal in New York City over absentee school custodians featured; scenes shown from the schools; details given from the city's report. [Mayor David DINKINS - reads statement about the report.] [Chief investigator Ed STANCIK - says criminal activity was found.] [City council president Andrew STEIN - calls it a rip-off.] How the custodial system wastes tax dollars detailed.,hard_news,local,380820,422,12051,130,1992
"(East Lansing: Tom Brokaw) .(Washington: Robert Bazell) Overall problems with the United States space program as exemplified by the problems with the Hubble Space Telescope featured; report in the """"""""New York Times"""""""" that the telescope manufacturer knew about the defects in the mirror all along noted. [Federation of American Scientists John PIKE - says Hubble is an example of the space program's problems.] Democratic vice presidential nominee Senator Albert Gore shown visiting a NASA facility with administrator Daniel Goldin. [GORE - criticizes the space program under President Bush and Vice President Dan Quayle.] NASA (National Aeronautics and Space Administration) animations shown of the proposed space station, the production of which would create aerospace industry jobs.",hard_news,national,379136,783,12051,130,1992
"(Studio: Peter Jennings) Early pullout by Israel from the town of Nablus, West Bank, reported; scenes shown of Palestinians celebrating the end of occupation.",hard_news,international,347397,158,12210,86060,1995
"(Studio: Bob Schieffer) Poland reported appting. Solidarity journalist to run state-owned radio and TV. .(Warsaw, Poland: Bert Quint) Visit by veteran American politicians to help explain how democracy works to the new Polish parliament featured; details given, scenes shown. [Walter MONDALE, Howard BAKER - offer advice.] [Polish senate leader Andrzej STELMACHOWSKI - makes joke.] Prime Min. Tadeusz Mazowiecki noted stating that Poland needs economy help.",hard_news,international,412517,457,11320,85890,1989
(Studio: Peter Jennings) .(Washington: George Strait) Warning from FDA (Food and Drug Administration) about risks to patients having Bjork-Shiley heart valves examined; history of problems with the valve reviewed. [Representative Ron WYDEN - comments on the safety problems.] FDA (Food and Drug Administration) noted depending on the company to carry out safety tests as it also did with silicone breast implants.,hard_news,national,373820,413,12051,100,1992
"(Studio: Tom Brokaw) .(Los Angeles: Keith Morrison) Verdicts in the trial of the Los Angeles policemen for the beating of motorist Rodney King featured. [JUDGE - reads the verdicts.] Photos of the defendants, King's injuries, courtroom scenes shown.(Studio: Tom Brokaw; no location given: Star Jones) Discussion held about the mistrial on one of the charges in the case, the difficulty in bringing a guilty verdict against a policeman, whether the case was well-presented.",hard_news,local,367192,472,12051,210,1992
"(Studio: Peter Jennings) .(No location given: Sheila MacVicar) Excavation of suspected mass graves near Srebrenica featured; scenes shown. [Victim's BROTHER (thru translator) - describes torture.] This weekend's confrontation between American troops and angry Serbs, who feared the soldiers were at their village to get General Ratko Mladic, who has been indicted for war crimes, shown.",hard_news,international,315615,386,15988,100,1996
"(Studio: Bob Schieffer, Dan Rather) Reasons for USSR 's threatened slowing of troop withdrawal from Afghanistan and possible dealing between Mikhail Gorbachev and President Reagan at summit discussed; Angola mentioned. Soviet openness examined. Impt. of summit to Gorbachev discussed.",hard_news,international,425709,284,11070,170,1988
"(Studio: Bob Schieffer) .(Fertile, Minnesota: Gary Reaves) Grasshopper problem for farmers in Minnesota examined; details given, scenes shown. [Farmer Randy DRISCOLL - says grasshoppers have to be killed.] Farmers' efforts to kill grasshoppers noted also destroying useful honey bees. [Beekeeper Ron LORENSON - comments on his losses.] [Farmer Jerry SEDLACEK - defends actions.] [Farmers Glenn HOLTE, Dwight ANDERSON - comment.] [State entomologist David NOETZEL - comments on effects of insecticides.]",hard_news,local,409867,502,11320,150,1989
"(Madison Square Garden: Peter Jennings) .(Dallas: Morton Dean) Decision by undeclared candidate Ross Perot to quit the race featured; scenes shown from Dallas. [PEROT - says his chances of winning in the House are slim; says he spent ten million; compliments his volunteers.] Reaction of the volunteers noted.(Madison Square Garden: Peter Jennings) Political scramble by both parties to attract the Perot supporters noted.(Convention floor: Jim Wooten) Reaction of Democrats to Perot's withdrawal featured. [Democratic National Committee chairman Ron BROWN - says join our crusade.] [Governor Bill Clinton pollster Stan GREENBERG - comments.] [Two weeks ago, Clinton strategist David WILHELM - says a three-man race hurts President Bush.] [In California, Perot SUPPORTER, Clinton California state chairman John GARAMENDI, CLINTON - comment.](Madison Square Garden: Peter Jennings) .(Wyoming: Brit Hume) Reaction of Republicans to Perot's quitting featured. [On phone, BUSH - says he called Perot.] The Bush strategy of not trying to offend Perot's ardent backers recalled. [Republican National Committee Rich BOND - comments.](Madison Square Garden: Peter Jennings) Results of ABC News/""""""""Washington Post"""""""" poll on Perot voters' second choice cited.",hard_news,national,378809,1248,12051,450,1992
(Studio: Judy Woodruff) The annual release of France's 1996 Beaujolais nouveau wine on the third Thursday in November reported.,soft_news,international,316802,127,15988,30,1996
"(Studio: Peter Jennings) The reaction of Jewish settlers on the West Bank to the assassination of Israeli Prime Minister Yitzhak Rabin reported; scenes shown of Israelis lighting candles in Jerusalem.(Tel Aviv: John Donvan) Ruminations by Israelis about the event featured. [On a bus, three ISRAELIS - comment.]",hard_news,international,347777,311,12210,170,1995
"(Studio: Dan Rather) Summit meeting for officials from the nine Midwestern states hit by the floods reported; scenes shown of that house breaking up from the flood waters.(Studio: Connie Chung) .(Orchard Farm, Missouri: Vicki Mabrey) The first day of school for students from flooded West Alton, Missouri, and Valmeyer, Illinois, featured; scenes shown. [Two KIDS, parent Tischa DWIGGINS, Valmeyer parent and student Charlotte and Carrie GARTZKE, teacher Anita MUERTZ - comment on the flood and the school.]",hard_news,national,350974,507,10977,140,1993
"(Studio: Bob Schieffer) .(New York: Jacqueline Adams) The reaction to Judge Stephen Breyer, President Clinton's Supreme Court nominee to succeed Harry Blackmun, examined; scenes shown of Breyer jogging with his daughter. [BREYER - talks about the court.] [Harvard law professor Laurence TRIBE, former judge Robert BORK, President CLINTON - praise Breyer.] Breyer's views on key issues listed.(Studio: Bob Schieffer) Clinton's problem of being indecisive in making his presidential appointments noted.(Indianapolis: Randall Pinkston) Clinton and the selection of Breyer as the Supreme Court nominee featured; scenes shown of Clinton at ground-breaking ceremonies in Indianapolis, IN, for an anti-violence monument on the site where Robert F. Kennedy gave a speech the night Martin Luther King, Junior, was assassinated. [White House counsel Lloyd CUTLER - talks about the three court candidates.] [Senator Orrin HATCH - says Interior Secretary Bruce Babbitt would have been a political nominee.] [Senator Edward KENNEDY - praises Breyer.] [April 4, 1968, Robert KENNEDY - calls for love and compassion.]",hard_news,national,361759,1102,11094,280,1994
(Studio: Tom Brokaw) A squadron of United States Marines reported sent to the Central African Republic to protect the United States embassy there reported.,hard_news,international,309111,155,15988,86390,1996
(Studio: John Roberts) .(Pentagon: David Martin) A breakthrough in the Western push for peace talks to end the war in Bosnia examined; scenes shown from Sarajevo. [Assistant Secretary of State Richard HOLBROOKE - comments on the negotiations.] NATO's pause in its bombing campaign noted; map shown of an ethnically realigned Bosnia. [UN spokesperson Lieutenant Colonel Chris VERNON - talks about targeting Serb positions.] [UN spokesperson Joe SILLS - comments.](Honolulu: Rita Braver) The reaction of President Clinton to the peace negotiations in Bosnia while attending ceremonies in Hawaii to mark Japan's surrender and the end of World War II featured. [CLINTON - comments on Bosnia and NATO's resolve and addresses World War II veterans.] [Retired Air Force Captain James POPP - talks about the bombing of Pearl Harbor.],hard_news,international,349928,825,12210,250,1995
"(Studio: Peter Jennings) .(New York: Ned Potter) Report that Iraqi President Saddam Hussein is beginning to blow up oil fields featured; EOSAT satellite image and map shown of areas in Kuwait where Iraq has started oil fires. [Federation of American Scientists John PIKE - describes how clouds from oil fires could hamper United States military.] [""""""""Petroleum Intelligence Weekly"""""""" Edward MORSE, Joint Chiefs of Staff operations director Lieutenant General Thomas KELLY - comment on use of oil fields as instrument of war.] Problems of fighting an oil fire detailed; scenes shown of oil fields on fire in Libya in 1965.(Studio: Peter Jennings) Impact of news on world oil prices cited.",hard_news,international,392015,685,10074,83290,1991
"(Studio: Dan Rather) .(Pentagon: David Martin) The need for action in war-torn Bosnia featured; scenes shown from Sarajevo and from a meeting of NATO, where Secretary of State Lawrence Eagleburger said the United States would protect the """"""""no-fly"""""""" zone over Bosnia. [Bosnian foreign minister Haris SILAJDZIC - calls it an extermination of people.] Letter from the Bosnian Serb leader Radovan Karadzic to United Nations Secretary General Boutros Boutros-Ghali threatening United Nations peacekeeping forces quoted. [NATO (North Atlantic Treaty Organization) Secretary General Manfred WOERNER, on Tuesday, Pentagon spokesman Pete WILLIAMS - comment.] United Nations said expected to vote on an enforcement resolution next week.",hard_news,international,378026,726,12051,190,1992
"(Studio: Tom Brokaw) .(White House: Brian Williams) The shutting down of the federal government due to the political gridlock between Congress and President Clinton reported. [CLINTON - blames Republicans.] [Representative Newt GINGRICH - blames Clinton.] [White House Chief of Staff Leon PANETTA - outlines the White House goal.] [Senator Pete DOMENICI - responds to the President.](Washington: Robert Hager) The closure of government offices, services that have stopped and those that are still in operation reviewed; scenes shown of federal employees all over the nation being told to leave their jobs. [TRAVELER - expresses her anger.]",hard_news,national,347014,639,12210,260,1995
"(Studio: Connie Chung) .(Oklahoma City: Vicki Mabrey) The ending of the search for bodies in the bombed-out federal building in Oklahoma City, Oklahoma, featured; scenes shown of the rubble and of a ceremony held by the rescue workers. [OKC firefighter Wyatt BURKS - comments on the end of the search.](Studio: Connie Chung) .(Kingman, Arizona: Jim Stewart) The continuing investigation in Kingman, Arizona, for information about bombing suspect Timothy McVeigh and """"""""John Doe No. 2"""""""" featured; scenes shown of police questioning residents. [Former employee Carl STOEHR - comments on McVeigh's purchase of ammonium nitrate fertilizer.]",hard_news,national,343760,635,12210,240,1995
"(Studio: Deborah Norville) Secretary of State Warren Christopher reported visiting PLO (Palestine Liberation Organization) leader Yasir Arafat today; scenes shown from Gaza City, Gaza.",hard_news,international,360221,184,11094,86360,1994
(Studio: Peter Jennings) .(NATO (North Atlantic Treaty Organization) headquarters in Brussels: John McWethy) Report from Secretary of State James Baker to NATO (North Atlantic Treaty Organization) about the visit to the Soviet republics to talk about getting rid of their nuclear weapons featured; map shown of region; position of Kazakhstan President Nursultan Nazarbayev and Russia on nuclear weapons noted. [BAKER - states stance on denuclearization.](Studio: Peter Jennings) Interview held with military consultant. [Anthony CORDESMAN - talks about status of long-range nuclear weapons and tactical weapons systems in the USSR ; says it is critical for United States to get these weapons under control.](Studio: Peter Jennings) NATO (North Atlantic Treaty Organization) reported announcing a new aid program for the Soviet union and stating that recognition of the independent republics could come soon.,hard_news,international,372333,907,10074,260,1991
"(Studio: Peter Jennings) .(New York: Bob Jamieson) The television audience for the Senate confirmation hearings for Supreme Court nominee Clarence Thomas examined; scenes shown from the hearings; television ratings cited. [On Friday, THOMAS - begins; calls it a """"""""high-tech lynching.""""""""] [HILL - refers to Thomas and pornography.] [Senator Orrin HATCH - comments.] The issue of sexual harassment mentioned.",hard_news,national,401833,405,10074,140,1991
"(Studio: Peter Jennings) .(Budapest, Hungary: Dennis Troute) Repressive action in Romania against demonstrators featured; scenes shown of protest in Bucharest, Romania, while leader Nicolae Ceausescu was making speech. [Journalist Richard BALOUS - describes police reaction to crowds.] [Voice of British embassy's Jonathan LAMB - reports dead bodies there.] Reports from travellers who had been in Romania about violence there detailed. [Disguised MAN - (thru translator) says security forces shot soldiers who refused to shoot a woman.] Scenes shown of protest in Budapest, Hungary, in which Ceausescu was hanged in effigy.(Studio: Peter Jennings) .(Moscow, USSR : Jim Laurie) Extensive media coverage of unrest in Romania in USSR and reaction in Eastern bloc featured; Soviet President Mikhail Gorbachev's refusal to comment on events in Romania noted; details given. Denouncement of Romanian government by other East European nations detailed; scenes shown of demonstrations in East Germany and in Yugoslavia.(Studio: Peter Jennings) State Department reported calling it a """"""""massacre.""""""""",hard_news,international,417959,1089,11320,290,1989
"(Studio: Dan Rather) Breaking off of Middle East peace talks in Washington, DC, and agreement to meet again next month; massacre of Indians in a Colombian village; fatal sweeping of giant wave over a Russian fishing vessel off the coast of Scotland; poisonous tropical algae in the Mediterranean Sea along the coast of France reported; scenes shown from Washington, Colombia, the Scotland coast and the Mediterranean.",hard_news,international,372759,417,10074,50,1991
(Studio: Peter Jennings) .(Jerusalem: John Donvan) Resumption by Israel of deportation of Palestinians despite United States opposition to this policy featured; scenes shown of Israeli helicopter carrying four Palestinians into exile in Lebanon. Possibility that Iraqi President Saddam Hussein could use this issue to claim his occupation of Kuwait does not differ from Israel's occupation of land it has captured in war noted. [Israeli government spokesman Yossi OLMERT - comments on situation.] Heating up of conflict between Israelis and Palestinians noted; scenes of recent violence shown.,hard_news,international,395413,593,10074,100,1991
"(Studio: Tom Brokaw) .(Capitol: Lisa Myers) The nasty political squabbling and hyperbole between Republicans and President Clinton over the budget examined; details given of the plans to close down non-essential government operations. [White House Chief of Staff Leon PANETTA - says the president will not accept the Republican terrorist tactics.] [House Speaker Newt GINGRICH, Majority Leader Senator Robert DOLE - blame the President.] [Minority leader Senator Tom DASCHLE - comments.]",hard_news,national,347436,487,12210,150,1995
"(Studio: Faith Daniels) Britain's plans to send more troops to the Persian Gulf noted. .(London: Dennis Murphy) End of an era in Britain with resignation of British Prime Minister Margaret Thatcher in name of Conservative party unity featured; scenes shown from London. [In House of Commons, Winston Churchill's GRANDSON, MAN, THATCHER - make comments back and forth.] Her successor said to be either foreign secretary Douglas Hurd, treasurer John Major or Michael Heseltine. [In streets, two LONDONERS - comment.] Her alliances with President Ronald Reagan and President Bush noted. [BUSH - praises Thatcher.](Studio: Faith Daniels) Comments about Thatcher's resignation from Reagan, French President Francois Mitterrand and spokesman for Iraqi President Saddam Hussein quoted.",hard_news,international,388346,778,10970,160,1990
"(Studio: Tom Brokaw) .(DC: Fred Francis) Pentagon sources quoted with regard to Muammar el-Kadhafi's suspected chemical weapons plant in Libya. [State Department spokesperson Charles REDMAN - urges allies not to assist Kadhafi's effort.] [In shadows, MAN - discusses work at plant.] Map of area that man sold to NBC news shown and discussed. Man and other empls. noted paid by European front companies such as Deutsche Bank in W. Germany; details given. Admin. noted faced with task of convincing allies that Kadhafi is indeed manufacturing chemical weapons. Use of chemical weapons by Iraq during Iran war noted.(Studio: Tom Brokaw, DC: Fred Francis) United States warships reported moving from Virginia base to Mediterranean Sea. United States noted pressuring Libya through diplomacy channels before resorting to military force.",hard_news,international,412619,831,11320,240,1989
"(Studio: Dan Rather) USSR general secretary Mikhail Gorbachev reported meeting with Fidel Castro in Havana, Cuba; details given, scenes shown of celebration honoring revolutionary hero Jose Marti. Gorbachev reported expected to urge Castro to adopt economy reforms. [For. minister spokesperson Gennady GERASIMOV - (thru translator) comments on talks between leaders] Castro quoted with regard to drug problem in Cuba. Raisa Gorbachev shown on tour; details given. .(Studio: Juan Vasquez) Ldrship. styles of Gorbachev and Castro compared and contrasted. Dissidents noted now meeting openly in Cuba. [MAN - (thru translator) comments on ideas.] [Pro-Human Rights party spokesperson Sam. MARTINEZ LARA - compares Castro's Cuba to Joseph Stalin's USSR .] Martinez Lara noted arrested last week for his comments &printing of newsletter. United Nations human rights delegation recalled touring Cuban prisons hsing. political prisoners. [Human rights activist Jacqueline SECERA CRUZ - urges government and economy reforms.] [MARTINEZ LARA - says Castro is afraid of free elecs.] [Dep. for. minister Raul ROA KOURI - refuses to allow plebiscite.](Studio: Dan Rather) State Department reported critical of Cuba's human rights record. New York City anchor Bob Schieffer introduced.",hard_news,international,413717,1271,11320,370,1989
"(Tuzla: Dan Rather) Developments in the peace effort in Bosnia reviewed; scenes shown of United States Marines and supplies landing at the airport in Tuzla, Bosnia, as part of the advance force. [Marine Major Bill SMITH - comments.] [Bosnian Prime Minister Haris SILAJDZIC - says American troops are needed for stability.](Rhein-Mein Air Base: Allen Pizzey) Delays in deploying United States troops and materiele due to the foggy weather featured; scenes shown from Taszar, Hungary. [Pilot Captain Pat TIBBETS, loadmaster S/sergeant Chris DOCHERY - comment on the mission.](Tuzla: Dan Rather) .(Vicenza, Italy: David Martin) Sunday prayers for the elite army of paratroopers that will leave their Italy base for Bosnia featured; scenes shown from the church service. [Army chaplain Major Robert HELTON, Spc. Dustin WYNN, Army sergeant Kenneth FLETCHER - talk about readying to leaving.]",hard_news,international,347431,886,12210,85000,1995
"(Studio: Judy Woodruff) President Clinton shown reaching Shanghai, the third stop on his China trip.(Beijing: Rebecca MacKinnon) The reaction to Clinton's speech live on Chinese television featured. [Three CHINESE, Academy of Social Sciences JIN Canrong - (thru translator) react to the live coverage.] The open actions taken by Premier Jiang Zemin assessed. [University of California at Berkeley Orville SCHELL - warns that democracy will be slow in coming in China.](Studio: Judy Woodruff) .(Shanghai: Mike Chinoy) Clinton's appearance today on Shanghai's popular radio show """"""""Citizens and Society,"""""""" a call-in show on which the people can grill the bureaucrats, previewed; scenes shown from the studio while the importance of this open show is explained. [Talk show host ZUO Anlong - (thru translator) explains the aim of the show; reacts to Clinton's coming.]",hard_news,international,290382,863,14143,340,1998
"(Studio: Carol Lin) The wait for the verdict, possibly the death penalty, in the trial of Iraq's former President Saddam Hussein noted.(Baghdad: Aneesh Raman) Saddam’s chaotic trial for the execution of villagers in Dujail in 1982 reviewed; courtroom scenes shown. [Amnesty International Malcolm SMART- says everybody has a right to a fair trial.] [During the trial, SADDAM {thru translator} – reacts to evidence.] [Defense attorney Ziyad Khaleel ANNAJDAWI- says if this ends by the death penalty, the doors of hell will be open in Iraq and its Arab neighbors.](Studio: Carol Lin) CNN’s coverage of the verdict noted.",hard_news,international,182721,619,21426,180,2006
(Studio: Charles Gibson) Outrage about Israel's bombing of a residential building in the Palestinian territory noted; scenes shown.(Gaza City: Martha Raddatz) The Israeli missile strike in Gaza that took out Hamas military leader Sheik Salah Shehada††featured; scenes shown of Palestinians in the street. [Israeli defense forces Maj. Gen. Dan HAREL†- says this mastermind terrorist died as well as several innocent civilians.] Shehada's background & Palestinian promises of retaliation reviewed.(Studio: Charles Gibson) (White House: Terry Moran) United States muted criticism of Israel's action discussed; statement from White House press secretary Ari Fleischer†quoted,hard_news,international,244921,670,12763,230,2002
"(Studio: Tom Brokaw) .(Chicago: Jim Avila) Concerns about the effects of the dropping value of technology stocks on mutual funds and other investment accounts examined. [Investor Emily BLOCK - says she wants to invest in the tech stocks.] [Ariel Capital Management John West ROGERS, Junior - says people have started gambling with mutual funds; says the wrong people are getting tech stocks.] A profile of the mutual fund shareholder outlined on screen. [Amazon.com Bill CURRY - explains Amazon.com's business plan.] [San Francisco analyst Chip ADAMS - explains a feature of tech stocks.]",hard_news,national,284139,588,11788,180,2000
(Studio: Peter Jennings) The public's investments in the stock market noted. [SEC chairman Arthur LEVITT - says many Americans are on board a financial Titanic.](New York: Betsy Stark) The Securities and Exchange Commission warnings about Wall Street examined; details given of Americans' spending and advice on diversification. [Two mutual fund INVESTORS - cite their expectations.] [Certified financial planner Kim DIGNUM - notes the risks.] [Investor Mike SNIDER - comments.](Studio: Peter Jennings) .(No location given: John Martin) Penny stock fraud examined; details given as to how the SEXI company committed fraud via bribery. [Investors Dina and Eric ESNARD - comment on their losses.] The lack of regulation of penny stocks detailed. [SEC enforcement William McLUCAS - worries.],hard_news,national,288789,788,14143,320,1998
(Washington: Wolf Blitzer) E-mail letters from viewers quoted.,soft_news,"national
not_clear",264498,62,12546,30,2001
(Studio: Tom Brokaw) .(State Department: Andrea Mitchell) Heightened security at the US-Canada border due to concerns about Y2K-related terrorist plots reported; details given of the arrests of five people involved in an alien-smuggling plot reported. [Border Patrol Gene DAVIS - says he has seen nothing indicating terrorism.] [US Customs Van BROWN - says customs searches are more thorough.] [Security expert William DALY - says a committed terrorist can get through any kind of security.] [Former FBI assistant director Skip BRANDON - says lone terrorists are hard to stop.],hard_news,international,280570,577,11027,160,1999
"(Studio: Aaron Brown) The problem for President Bush of escalating tension between China & Taiwan introduced.(White House: Suzanne Malveaux) Bush's meeting with Chinese Premier Wen Jiabao featured; scenes shown from the White House; details given of US concerns that Taiwan may be preparing for a showdown with China. [BUSH&nbsp- says we opposes any unilateral decision by China or Taiwan to change the status quo.] [WEN&nbsp- {thru translator} comments.] [Brookings Inst. Richard BUSH- says Taiwan has been urged to cool it; notes the importance China plays in US foreign policy.] [Foundation for the Defense of Democracies Cliff MAY- says """"""""pleasing {China} should not be appeasing.""""""""]",hard_news,international,221856,689,12229,180,2003
"(Studio: Peter Jennings) The outcome of yesterday's Senate elections with the races in South Dakota & Louisiana still uncertain & the key Republican victories in Georgia, Missouri & Minnesota reviewed.(Capitol Hill: Linda Douglass) The decision by Representative Richard Gephardt to resign his leadership post & the reaction of the Republicans to victory featured. [Senator Trent LOTT&nbsp- says President Bush made a huge difference.] [North Carolina Senator-elect Elizabeth DOLE, Minnesota senatorial candidate Walter MONDALE, Senate majority leader Tom DASCHLE&nbsp- comment on the election.] [Representative Harold FORD&nbsp- suggests new leadership is needed.] [American Enterprise Inst. Norman ORNSTEIN- comments on Bush & the coattails effect.](Studio: Peter Jennings) .(White House: Terry Moran) The ambitious conservative agenda being planned by the Republicans examined; details given about homeland security, permanent tax relief, judicial nominations, prescription drug benefits, oil drilling in Alaska. [White House press secretary Ari FLEISCHER- says they won on the president's agenda.] [Former Senator George MITCHELL&nbsp- cites the biggest problem for the winners.](Studio: Peter Jennings, George Stephanopoulos) The question for Bush of whether he should reach out to conservative Democrats, what will happen to the fracturing Democrats & what the successful Democratic presidential candidate will have to do discussed.(Studio: Peter Jennings) The outcome of the 36 governors' races with three still undecided noted.(Nashville: Barbara Walters) ABCNews exclusive interview held with former Vice President Al Gore about the meaning of the election. [GORE&nbsp- says the Democratic Party will have to be the loyal opposition & regroup.]",hard_news,international,250251,1755,12763,560,2002
"(Studio: Brian Williams) .(Carlisle: Jim Avila) Exclusive story on a day in the lives of the McCaughey septuplets contined; scenes shown of the volunteers working with the seven babies in the small Carlisle, Iowa, house. [Several VOLUNTEERS, multiple births experts Dr. Gloria Johnson POWELL - comment.](Studio: Brian Williams) .(Nashville: Bob Dotson) The marketing of this baby boom examined; scenes shown from the McCaughey house; details given of an agent's handling of business opportunities and the media. [Nashville Christian speaking bureau director Wes YODER - comments on the McCaughey septuplets and how much is enough publicity.]",soft_news,local,300140,641,14143,280,1998
"(Studio: Carol Costello) Statement from former President Bill Clinton on Senator Trent Lott reported. [CLINTON&nbsp- criticizes the Republicans.] CNN's """"""""Lott-o-Meter"""""""" shown.(Capitol Hill: Jonathan Karl) Lott's warfare featured. [In Mississippi, LOTT&nbsp- says we will work through this & he will serve out his Senate term.] [Senators Lincoln CHAFEE, Mike DeWINE, Representative J.C. WATTS, Secretary of State Colin POWELL&nbsp- offer views on Lott, his political future & his remarks.](Studio: Carol Costello) Live interview held with Hoover Inst. research fellow Shelby Steele about Lott. Steele's """"""""New York Times"""""""" article quoted. [From Salinas, California, STEELE&nbsp- says Lott is not the kind of man who came to term with his feelings about race; lists two conditions for Lott to remain Senate leader; talks about """"""""passionate conservatism""""""""; suggests Republicans should have addressed Lott's pattern before.]",hard_news,national,246683,921,12763,480,2002
(Studio: Dan Rather) .(Jerusalem: Bob Simon) Celebration of 50th anniversary of modern Israel's nationhood reported; scenes shown in Jerusalem of celebrations and business. [PERSON - expresses views on settlers 50 years ago and settlers now; PERSON - says making peace can sometimes be tougher than making war.] Problems with development of Jewish settlement in land claimed by Palestinians reported; scenes shown of protests and arrests. [PERSON - mentions unusual fact about Jewish history.],hard_news,international,288587,493,14143,160,1998
"(Studio: Campbell Brown) The tenuous cease-fire in the Middle East introduced; death toll for Lebanon & Israel cited.(Tyre, Lebanon: Richard Engel) The situation in Lebanon as the cease-fire begins featured; details given of Hizballah leader Hassan Nasrallah’s declaration of victory; scenes shown of a convoy of ambulances & reporters, destroyed buildings, aid convoys, Lebanese refugees, unexploded ordnance, celebrations in Tyre & Beirut.(Studio: Campbell Brown) .(Metula, Israel: Martin Fletcher) Uncertainty in Israel over whether the cease-fire will hold featured; scenes shown of Israeli artillery firing last shots, reserve troops returning. [MAN – explains what a cease-fire means in this part of the world.] [SOLDIER – says it’s a feeling of a failed mission.] [Israeli political analyst Emanuel ROSEN- says Nasrallah is a dead man.](Studio: Campbell Brown) .(White House: David Gregory) President Bush’s view on the war featured; details given of his linking this war to the war in Iraq and his blaming of Iran for supporting armed groups to stop democracy. [BUSH- says Iran must stop its support of terror; downplays Hizballah’s claim of victory.] Bush’s message to Iran discussed.",hard_news,international,170700,1195,21426,470,2006
"(Studio: Tom Brokaw) The latest developments in the NATO (North Atlantic Treaty Organization) war against Yugoslav President Slobodan Milosevic updated.(Belgrade, Yugoslavia: Ron Allen) Explosions from NATO (North Atlantic Treaty Organization) bombings in downtown Belgrade reported; map shown of downtown Belgrade.(Studio: Tom Brokaw) .(Pentagon: Jim Miklaszewski) Refusal to stop the NATO (North Atlantic Treaty Organization) bombing of Serbia and hopes that the captured American soldiers may be released reported. [Acting President of Cyprus Spyros KYPRIANOU - says he has positive indications.] [White House spokesman Joe LOCKHART - says the soldiers should be released without conditions.] [Defense Secretary William COHEN - says this is no time to pause.] [NATO (North Atlantic Treaty Organization) Commander General Wesley CLARK - says NATO (North Atlantic Treaty Organization) knows where Serb troops are.](Studio: Tom Brokaw) .(Skopje, Macedonia: Martin Fletcher) The sudden relocation by Macedonian police of Kosovar Albanian refugees on the Kosovo-Macedonia border reported; details given of the closing of the Kosovo borders by Serb troops; scenes shown of the abandoned border camp. [International Medical Corps Dr. Sherry FINK - says the people want to go home.] [In Blace, Macedonia, NBC journalist Fredricka WHITFIELD - says there was some activity at the abandoned camp.] [In Morini, Albania, NBC reporter Fred FRANCIS - says there are several refugees only meters from safety.] [In Korce, Albania, Kevin TIBBLES - describes a group of refugees.](Studio: Tom Brokaw) .(State Department: Andrea Mitchell) Accusations against Serbian officials of war crimes and atrocities against ethnic Albanians in Kosovo reported. [State Department spokesman James RUBIN - says the Serb commanders should think twice before their troops commit war crimes.] [Former State Department lawyer Paul WILLIAMS - says Milosevic is responsible for the occurrence of war crimes.] [Secretary of State Madeleine ALBRIGHT - says Milosevic is politically responsible.] [Former White House counsel Lloyd CUTLER - says naming Milosevic as a war criminal is not a good move.]",hard_news,international,274652,2161,11027,570,1999
"(Studio: Tom Brokaw) .(Washington: Bob Faw) Improvement in reading scores of American students and concerns about continuing deficiencies in education examined. [Vice President Al GORE - says children are reading more and watching television less.] [Education Secretary Richard RILEY - encourages parents to read to their children.] [Teacher Emily PARKER - explains how children learn to read.] [STUDENT - reads out loud.] [Former Education Undersecretary Chester FINN - says nobody knows why reading scores improved.](Studio: Tom Brokaw) .(Chicago: Jim Avila) Comments from prominent Baptist minister Jerry Falwell that the Teletubby Tinky Winky is promoting homosexuality reported; scenes shown from the """"""""Teletubbies"""""""" television show. [FALWELL - says the gay community says Tinky Winky is good; says parents should be aware of what their children are watching.] [Itsy Bitsy Entertainment Company Kenn VISELMAN - says """"""""Teletubbies"""""""" is a children's show.] [GLAAD executive director Joan GARR - says it's hard to act offended and keep a straight face.] [University of Chicago Dr. Al RAVITZ - says identity is more than sexuality.]",hard_news,national,272882,1133,11027,310,1999
